2022-08-13 23:08:890 INFO  CreateDemoAccountPage :85 - Clicking on Terms and Conditions Box : [[ChromeDriver: chrome on WINDOWS (3bdb653dcf116189dffda5ea6149bb06)] -> xpath: //label[@for='GDPR']]
2022-08-13 23:08:978 INFO  CreateDemoAccountPage :92 - Clicking on Create Account: [[ChromeDriver: chrome on WINDOWS (3bdb653dcf116189dffda5ea6149bb06)] -> xpath: //button[@name='avaWidgetSubmit']]
2022-08-13 23:08:848 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-13 23:08:186 INFO  HomePage :29 - Clicking on Try Free Demo : [[ChromeDriver: chrome on WINDOWS (02b9158c4ac2384f51854e1929bb042b)] -> xpath: //a[@class='btn hp-submit-btn hp-demo-acc-btn']]
2022-08-13 23:08:228 INFO  HomePage :34 - Verifying the demopage text[[ChromeDriver: chrome on WINDOWS (02b9158c4ac2384f51854e1929bb042b)] -> xpath: //h1[normalize-space()='Open Demo Account']]
2022-08-13 23:08:240 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-13 23:08:13 INFO  HomePage :29 - Clicking on Try Free Demo : [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> xpath: //a[@class='btn hp-submit-btn hp-demo-acc-btn']]
2022-08-13 23:08:540 INFO  CreateDemoAccountPage :53 - Sending First Name : [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> id: name]
2022-08-13 23:08:633 INFO  CreateDemoAccountPage :58 - Sending last name: [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> id: lastName]
2022-08-13 23:08:710 INFO  CreateDemoAccountPage :66 - Sending email address : [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> id: email]
2022-08-13 23:08:785 INFO  CreateDemoAccountPage :71 - Sending phone number : [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> id: phoneInput]
2022-08-13 23:08:887 INFO  CreateDemoAccountPage :79 - Clicking on Newletter box : [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> xpath: //label[@for='NewsLetter']]
2022-08-13 23:08:957 INFO  CreateDemoAccountPage :85 - Clicking on Terms and Conditions Box : [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> xpath: //label[@for='GDPR']]
2022-08-13 23:08:58 INFO  CreateDemoAccountPage :92 - Clicking on Create Account: [[ChromeDriver: chrome on WINDOWS (02ad3e0bc310e1c0d3550d6e9f01c046)] -> xpath: //button[@name='avaWidgetSubmit']]
2022-08-14 11:08:84 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:139 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:579 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:983 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:594 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:279 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:103 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:427 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:766 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:134 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:909 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:585 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:698 INFO  ManageDriver :31 - Launching Chrome Browser
